,shooting_team,game_date,duration,shooter_name,player_key,position,shoots_handed,hometown,birthdate,jersey_number,shot_key,shot_type,shot_time,shot_quality,goalie_name,is_goal,blocker_name,assist1_name,assist2_name,is_power_play_goal,is_short_handed_goal,is_empty_net_goal,is_penalty_shot_goal,is_insurance_goal,is_game_winning_goal,x_location,y_location,home_state_or_territory,duration_hours,rookie,games_played,goals,shots,hits,shots_blocked_by_player,ice_time_minutes_seconds,shooting_percentage,assists,points,points_per_game,plus_minus,penalty_minutes,penalty_minutes_per_game,ice_time_per_game_avg,hits_per_game_avg,power_play_goals,power_play_assists,short_handed_goals,short_handed_assists,faceoff_attempts,faceoff_wins,faceoff_pct,rank,year_of_birth
0,Toronto Sceptres,2026-01-20,2000-01-01 02:31:00,Blayre Turnbull,76,F,R,Stellarton,1993-07-15,19,4,Wrist,2000-01-01 00:01:18,Quality goal,Corinne Schroeder,1,None,Claire Dalton,Kali Flanagan,0,0,0,0,0,0,513,196, NS,2.5166666666666666,0,17,4,37,33,15,307:12,10.8,4,8,0.47,-3,6,0.35,18:04,1.94,1,1,1,0,274,126,46.0,28,1993
1,Seattle Torrent,2026-01-18,2000-01-01 02:45:00,Alex Carpenter,34,G,L,North Reading,1994-04-13,31,16,Default,2000-01-01 00:06:20,Non quality blocked,Aerin Frankel,0,Jill Saulnier,Daryl Watts,Savannah Harmon,0,0,0,0,0,0,175,143, MA,2.75,0,15,5,45,1,8,305:48,11.1,5,10,0.67,-6,2,0.13,20:23,0.07,2,2,0,0,354,213,60.2,16,1994
2,Boston Fleet,2026-01-18,2000-01-01 02:45:00,Megan Keller,12,C,L,Farmington,1996-05-01,77,36,Slap,2000-01-01 00:12:28,Non quality goal,Corinne Schroeder,1,None,Abby Newhook,Alina Müller,1,0,0,0,0,0,423,203, MI,2.75,0,14,5,33,22,9,375:45,15.2,6,11,0.79,-1,0,0.0,26:50,1.57,4,1,0,0,0,0,0.0,13,1996
3,Boston Fleet,2026-01-18,2000-01-01 02:45:00,Megan Keller,12,C,L,Farmington,1996-05-01,77,41,Slap,2000-01-01 00:13:50,Non quality blocked,Corinne Schroeder,0,Mariah Keopple,None,None,0,0,0,0,0,0,434,217, MI,2.75,0,14,5,33,22,9,375:45,15.2,6,11,0.79,-1,0,0.0,26:50,1.57,4,1,0,0,0,0,0.0,13,1996
4,Boston Fleet,2026-01-18,2000-01-01 02:45:00,Haley Winn,246,F,R,Rochester,2003-07-14,88,43,Default,2000-01-01 00:14:00,Non quality blocked,Corinne Schroeder,0,Lexie Adzija,None,None,0,0,0,0,0,0,389,173, NY,2.75,1,14,1,43,12,21,391:53,2.3,7,8,0.57,-1,2,0.14,27:59,0.86,0,4,0,0,0,0,0.0,31,2003
5,Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Hilary Knight,13,LD,R,Sun Valley,1989-07-12,5,47,Wrist,2000-01-01 00:09:52,Non quality goal,Raygan Kirk,1,None,Hannah Bilka,Alex Carpenter,1,0,0,0,0,0,48,178, ID,2.5166666666666666,0,14,3,43,12,6,285:06,7.0,7,10,0.71,-2,4,0.29,20:21,0.86,3,2,0,0,5,3,60.0,17,1989
6,Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Mikyla Grant-Mentis,138,F,L,Brampton,1998-07-15,78,51,Backhand,2000-01-01 00:10:54,Non quality blocked,Raygan Kirk,0,Blayre Turnbull,None,None,0,0,0,0,0,0,70,99, ON,2.5166666666666666,0,15,1,29,3,17,223:54,3.4,3,4,0.27,-5,6,0.4,14:55,0.2,0,0,0,0,165,67,40.6,79,1998
7,Toronto Sceptres,2026-01-20,2000-01-01 02:31:00,Emma Gentry,244,D,L,Alpena,2002-10-23,12,55,Wrist,2000-01-01 00:12:33,Quality on net,Corinne Schroeder,0,None,None,None,0,0,0,0,0,0,525,170, MI,2.5166666666666666,1,16,1,18,13,16,183:21,5.6,0,1,0.06,-4,10,0.63,11:27,0.81,0,0,0,0,119,44,37.0,127,2002
8,Seattle Torrent,2026-01-20,2000-01-01 02:31:00,Hannah Bilka,181,G,L,Coppell,2001-03-24,30,57,Tip,2000-01-01 00:13:49,Non quality goal,Raygan Kirk,1,None,Cayla Barnes,None,0,0,0,0,0,0,39,165, TX,2.5166666666666666,0,14,4,38,8,7,251:12,10.5,5,9,0.64,-6,2,0.14,17:56,0.57,0,5,0,0,2,1,50.0,21,2001
9,Seattle Torrent,2026-01-18,2000-01-01 02:45:00,Julia Gosling,210,LD,L,London,2001-02-21,55,75,Slap,2000-01-01 00:25:47,Non quality goal,Aerin Frankel,1,None,Brooke Bryant,Cayla Barnes,0,0,0,0,0,0,81,67, ON,2.75,0,15,6,56,7,7,274:00,10.7,7,13,0.87,0,8,0.53,18:16,0.47,1,1,0,0,5,1,20.0,8,2001
